brand,model,rmse,mape
abarth,124 spider,8346.96164780934,0.6901115267814795
abarth,500,2815.76,10.97
abarth,500c,3137.03,12.65
abarth,695,3118.136943753433,0.132946409320466
abarth,punto evo,0.0,0.0
aiways,u5,4590.21,14.81
alfa romeo,146,1197.7688372553362,0.3710318767694089
alfa romeo,147,1492.68,56.95
alfa romeo,156,1797.36,93.83
alfa romeo,159,2771.45,47.93
alfa romeo,166,1789.0290662814843,0.4657611693325979
alfa romeo,33,1247.2191289246473,0.3277216610549944
alfa romeo,4c,0.0,0.0
alfa romeo,75,14407.02953422391,1.414795637829912
alfa romeo,brera,1911.48,19.1
alfa romeo,giulia,4904.04,9.55
alfa romeo,giulietta,1773.56,14.28
alfa romeo,gt,1383.23,51.33
alfa romeo,gtv,4862.44,28.13
alfa romeo,mito,1723.42,19.44
alfa romeo,spider,4513.9,56.11
alfa romeo,sprint,477.5,0.0456905964397724
alfa romeo,stelvio,5499.83,9.57
alfa romeo,tonale,2938.95,4.37
alpine,a110,7993.25,9.81
aro,10,1338.6093530227554,0.7425712719298245
aro,expander,0.0,0.0
asia,rocsta,5199.06,86.05
asia motors,rocsta,11293.877397362992,9.840973544973545
aston martin,db7,2545.0,0.053795848256510986
aston martin,db9,5365.11,10.38
aston martin,v8 vantage,6531.559442430268,0.11925120931158656
aston martin,vanquish,0.0,0.0
aston martin,vantage,0.0,0.0
aston martin,vantage v8,7810.07,6.98
audi,100,684.4,39.83
audi,200,0.0,0.0
audi,80,2676.33,179.98
audi,90,2607.081701826776,0.6717371323529411
audi,a1,2046.61,8.25
audi,a2,1139.6,49.45
audi,a3,4629.52,24.64
audi,a4,4081.24,28.67
audi,a4 allroad,4350.0,2.9476973684210526
audi,a4 allroad quattro,3324.28,15.89
audi,a5,5723.59,27.0
audi,a6,6489.56,38.61
audi,a6 allroad quattro,5775.75,164.85
audi,a7,10991.7,172.36
audi,a8,4004.43,25.73
audi,allroad quattro,3218.57,39.4
audi,cabriolet,7402.38,63.72
audi,coupe,4524.54,98.46
audi,e-tron,8499.58,14.43
audi,e-tron gt,3910.38,4.08
audi,e-tron sportback,16888.46,73.95
audi,q2,2367.46,6.38
audi,q3,3815.02,9.13
audi,q3 sportback,7450.07,10.87
audi,q4 e-tron,4717.07,8.54
audi,q4 sportback e-tron,9227.59,21.71
audi,q5,4802.61,21.08
audi,q5 sportback,11602.57,20.79
audi,q6 e-tron,2295.0,0.027606800526478566
audi,q7,6692.49,14.02
audi,q8,8936.55,8.81
audi,q8 e-tron,2950.220330754976,0.034539395391569305
audi,q8 e-tron sportback,3500.0,0.06696428571428571
audi,q8 sportback e-tron,8909.1,10.12
audi,r8,24968.43,21.31
audi,rs2,0.0,0.0
audi,rs3,20987.29,766.83
audi,rs4,19104.39,27.88
audi,rs5,7748.991869914435,0.3821445190047022
audi,rs6,14094.5,34.68
audi,rs7,3439.82,5.65
audi,s1,5273.82,26.69
audi,s2,0.0,0.0
audi,s3,5336.84,34.2
audi,s4,15217.59,69.55
audi,s5,6008.62,16.97
audi,s6,15598.1,51.64
audi,s8,18148.94,111.58
audi,sq5,3261.94,9.36
audi,sq7,9916.98,16.48
audi,tt,5368.79,26.07
audi,tt rs,3062.6785662227107,0.10147776796052659
audi,tts,6893.73,23.05
audi,v8,0.0,0.0
austin,mini,1649.915822768611,0.4407407407407407
austin,mini moke,0.0,0.0
auverland,diesel,0.0,0.0
bentley,bentayga,0.0,0.0
bentley,continental flying spur,6926.16,16.43
bentley,continental gt,31232.07,51.27
bentley,continental gtc,54330.93,99.49
bentley,flying spur,3950.0,0.03410598862147027
bentley,mulsanne,0.0,0.0
bentley,turbo r,6499.5,1.286372070129383
bertone,freeclimber diesel,0.0,0.0
bmw,compact,2029.39,48.55
bmw,i3,2555.81,21.33
bmw,i4,10780.33,11.37
bmw,i5,42858.05,567.26
bmw,i7,33377.1,28.3
bmw,i8,4298.79,4.73
