brand,model,rmse,mape,mae,iqr_25_75,iqr_10_90
abarth,124 spider,8507.997708039184,0.7504356408747272,6897.5,9400,17300
abarth,500,1805.42,7.23,1269.0,0,100
abarth,500c,2872.2,11.49,1948.0,0,0
abarth,695,3227.744413673425,0.11428,2500.0,3800,6000
abarth,punto evo,0.0,0.0,0.0,0,0
aiways,u5,4590.21,14.81,3585.0,5200,8500
alfa romeo,146,1266.8909779456162,0.3175273236602907,987.75,1400,2400
alfa romeo,147,1559.88,61.13,1330.0,0,0
alfa romeo,156,1589.12,82.17,1202.0,0,0
alfa romeo,159,2738.66,47.85,1644.0,0,0
alfa romeo,166,1886.961843811369,0.3786753786753787,1425.0,2000,3600
alfa romeo,33,1290.9944487358057,0.3272727272727273,1000.0,1500,2400
alfa romeo,4c,0.0,0.0,0.0,0,0
alfa romeo,75,15512.092057488571,0.8985428885630498,11500.0,16500,28200
alfa romeo,brera,1911.87,19.11,1368.0,500,1900
alfa romeo,giulia,2545.36,5.84,1459.0,0,0
alfa romeo,giulietta,1735.51,13.4,1189.0,0,0
alfa romeo,gt,1383.23,51.33,1111.0,0,0
alfa romeo,gtv,4862.44,28.13,3574.0,4800,10500
alfa romeo,mito,1425.38,17.16,1130.0,0,0
alfa romeo,spider,4513.9,56.11,3919.0,7800,14900
alfa romeo,sprint,477.5,0.0456905964397724,477.5,500,800
alfa romeo,stelvio,4684.57,7.92,2735.0,100,400
alfa romeo,tonale,2065.85,2.94,1127.0,0,0
alpine,a110,7993.25,9.81,6817.0,18700,31200
aro,10,1340.7087677791922,0.7641995614035088,1325.0,2500,2800
aro,expander,0.0,0.0,0.0,0,0
asia,rocsta,5199.06,86.05,3783.0,3000,7300
asia motors,rocsta,13420.66193101766,1.6902857142857144,8216.666666666666,12300,19700
aston martin,db7,2545.0,0.0537958482565109,2545.0,2500,4100
aston martin,db9,5365.11,10.38,4018.0,3500,8200
aston martin,v8 vantage,6628.161509800437,0.1165279172259353,5872.5,9100,13800
aston martin,vanquish,0.0,0.0,0.0,0,0
aston martin,vantage,0.0,0.0,0.0,0,0
aston martin,vantage v8,7810.07,6.98,6000.0,11000,25400
audi,100,684.4,39.83,681.0,1200,2200
audi,200,0.0,0.0,0.0,0,0
audi,80,2676.33,179.98,2426.0,4400,6800
audi,90,2680.951323690902,0.7431985294117647,2375.0,3900,5400
audi,a1,1667.02,6.87,1162.0,500,1200
audi,a2,1139.57,49.45,857.0,1300,3200
audi,a3,3636.19,15.38,2250.0,2500,5400
audi,a4,2537.16,19.77,1677.0,1000,2500
audi,a4 allroad,4350.0,2.947697368421053,4350.0,4400,7000
audi,a4 allroad quattro,3980.24,18.25,2887.0,0,0
audi,a5,4763.06,11.7,2823.0,1000,2300
audi,a6,5825.24,20.01,3346.0,900,2300
audi,a6 allroad quattro,4509.36,19.48,3198.0,0,0
audi,a7,5794.39,14.04,4073.0,200,500
audi,a8,4211.71,33.38,2918.0,0,0
audi,allroad quattro,3218.64,39.39,2622.0,3900,8200
audi,cabriolet,7402.38,63.72,6084.0,5400,13700
audi,coupe,4524.54,98.46,3859.0,4200,13100
audi,e-tron,8499.58,14.43,5729.0,0,0
audi,e-tron gt,3910.56,4.08,3120.0,5000,12500
audi,e-tron sportback,16888.46,73.95,12351.0,16900,22400
audi,q2,1900.84,5.43,1338.0,200,600
audi,q3,3038.68,7.21,1960.0,700,1700
audi,q3 sportback,5266.51,7.46,2824.0,400,1100
audi,q4 e-tron,4717.07,8.54,4031.0,8600,14600
audi,q4 sportback e-tron,5947.1,12.86,5638.0,13500,20700
audi,q5,4250.75,9.41,2631.0,700,1600
audi,q5 sportback,10464.49,14.14,7881.0,0,0
audi,q6 e-tron,2295.0,0.0276068005264785,2295.0,2300,3700
audi,q7,5006.93,13.47,3490.0,400,1200
audi,q8,6378.31,5.87,4052.0,0,200
audi,q8 e-tron,3200.2187425237043,0.0286783882783882,2300.0,3400,5500
audi,q8 e-tron sportback,3500.0,0.0669642857142857,3500.0,3500,5600
audi,q8 sportback e-tron,8909.1,10.12,8324.0,17100,20900
audi,r8,24968.3,21.31,16777.0,27000,62000
audi,rs2,0.0,0.0,0.0,0,0
audi,rs3,19320.02,29.43,13979.0,18100,45000
audi,rs4,9542.8,19.73,7899.0,12100,23700
audi,rs5,8355.387483534201,0.3811222407262278,5375.0,6100,14400
audi,rs6,8787.83,13.12,5288.0,11500,27600
audi,rs7,3439.85,5.65,2869.0,4400,7800
audi,s1,5273.83,26.69,5049.0,8600,11000
audi,s2,0.0,0.0,0.0,0,0
audi,s3,3874.14,13.9,2828.0,0,0
audi,s4,7778.33,49.88,6629.0,11700,37700
audi,s5,6037.15,21.29,4553.0,0,0
audi,s6,13849.62,36.65,10052.0,11400,31000
audi,s8,19117.56,71.09,17604.0,31400,39000
audi,sq5,4108.0,12.99,3359.0,0,0
audi,sq7,9916.98,16.48,6817.0,8500,20400
audi,tt,2748.26,31.79,2048.0,100,300
audi,tt rs,3502.8559776273987,0.0746959247648902,2300.0,3400,5500
audi,tts,6893.84,23.05,5867.0,12500,16300
audi,v8,0.0,0.0,0.0,0,0
austin,mini,2020.7259421636904,0.4666666666666666,1166.6666666666667,1800,2800
austin,mini moke,0.0,0.0,0.0,0,0
auverland,diesel,0.0,0.0,0.0,0,0
bentley,bentayga,0.0,0.0,0.0,0,0
bentley,continental flying spur,6926.16,16.43,6395.0,8000,13200
bentley,continental gt,36029.52,66.65,31239.0,56900,73300
bentley,continental gtc,54330.93,99.49,54301.0,52500,61200
bentley,flying spur,3950.0,0.0341059886214702,3950.0,4000,6300
bentley,mulsanne,0.0,0.0,0.0,0,0
bentley,turbo r,6499.5,1.286372070129383,6499.5,6500,10400
bertone,freeclimber diesel,0.0,0.0,0.0,0,0
bmw,compact,2029.39,48.55,1381.0,0,0
bmw,i3,1999.01,11.11,1358.0,0,100
bmw,i4,10780.33,11.37,7294.0,0,0
bmw,i5,42858.05,567.26,31184.0,42100,68600
bmw,i7,33377.1,28.3,32854.0,30600,80900
bmw,i8,4296.15,5.52,3720.0,2500,11300
bmw,ix,12732.27,10.65,7781.0,0,0
bmw,ix1,2482.2,3.68,1776.0,0,0
bmw,ix2,4494.58,7.7,4012.0,8900,19500
bmw,ix3,10171.73,39.34,5809.0,0,0
bmw,serie 1,3268.47,15.92,2142.0,2400,5200
bmw,serie 2,8958.19,16.62,5348.0,800,2000
bmw,serie 2 active tourer,2196.2,8.47,1432.0,200,500
bmw,serie 2 gran tourer,2282.08,9.6,1572.0,0,100
bmw,serie 3,4928.78,28.14,2941.0,3200,7200
bmw,serie 4,12918.38,19.09,7681.0,1600,5400
bmw,serie 5,5599.13,23.92,3078.0,900,2600
bmw,serie 6,12722.71,23.77,7259.0,100,200
bmw,serie 7,13697.83,31.18,7876.0,0,100
bmw,serie 8,19288.0,26.54,13141.0,0,0
bmw,x1,2423.69,7.99,1685.0,1100,2500
bmw,x2,3438.05,7.59,2165.0,400,1400
bmw,x3,4924.13,15.35,3111.0,900,2800
bmw,x4,8511.52,14.55,5732.0,300,1000
bmw,x5,6214.94,14.97,3882.0,1000,2800
bmw,x6,10857.36,12.68,5845.0,500,1500
bmw,x7,9571.41,9.14,6608.0,0,0
bmw,xm,8500.0,0.2910326086956522,8500.0,8500,13600
bmw,z3,5131.38,31.83,3477.0,0,0
bmw,z4,6056.8,16.59,3840.0,100,300
byd,seal,250.0,0.002840909090909,125.0,100,400
cadillac,bls,3826.42,235.7,3649.0,2500,4200
cadillac,cts,2221.8610817660647,0.1745169082125603,1700.0,2600,4100
cadillac,el dorado,11250.0,1.823489010989011,11250.0,11200,18000
cadillac,escalade,3304.84,13.64,3248.0,5600,6500
cadillac,seville,2061.63,34.75,2061.0,2100,4900
cadillac,srx,2992.04,45.95,2967.0,2700,4700
cadillac,sts,665.9829827655759,0.0709585121602289,413.3333333333333,600,1000
cadillac,xlr,0.0,0.0,0.0,0,0
chevrolet,aveo,1191.35,21.27,803.0,0,0
chevrolet,camaro,18000.81,99.87,14332.0,18000,59200
chevrolet,captiva,1852.82,32.48,1350.0,0,100
chevrolet,corvette,14544.66,36.36,11228.0,15200,33500
chevrolet,corvette stingray,0.0,0.0,0.0,0,0
chevrolet,cruze,1294.65,21.03,903.0,0,0
chevrolet,epica,1516.35,49.14,1286.0,0,0
chevrolet,evanda,923.7604307034012,0.6666666666666666,533.3333333333334,800,1300
chevrolet,hhr,8002.5,0.9915867653367652,8002.5,8000,12800
chevrolet,kalos,1128.69,33.98,921.0,0,0
chevrolet,lacetti,1420.89,69.06,1190.0,0,0
chevrolet,malibu,0.0,0.0,0.0,0,0
chevrolet,matiz,951.47,67.16,771.0,1000,1800
chevrolet,nubira,1500.31,43.22,1202.0,1600,3600
chevrolet,orlando,2006.92,20.98,1699.0,0,0
chevrolet,spark,1222.2,23.45,941.0,1100,2900
chevrolet,tacuma,348.99,15.32,324.0,600,1300
chevrolet,tahoe,50.00249993750312,0.0019424582704681,25.25,0,100
chevrolet,trailblazer,2355.589239801088,0.2499375,1600.0,2400,3800
chevrolet,trax,1339.85,11.15,1026.0,1700,2700
chevrolet,volt,5660.35,29.24,4944.0,2200,6000
chrysler,300c,2964.07,23.18,2207.0,0,0
chrysler,300m,2509.14,89.55,2179.0,2500,3900
chrysler,crossfire,4497.73,54.42,3757.0,2800,7600
chrysler,grand voyager,3256.99,49.87,2298.0,0,0
chrysler,le baron,100.0,0.0119047619047619,50.0,0,100
chrysler,neon,200.0,0.1458333333333333,200.0,200,300
chrysler,pt cruiser,1776.11,41.2,1296.0,0,0
chrysler,saratoga,0.0,0.0,0.0,0,0
chrysler,sebring,2394.49,92.71,1829.0,3200,7200
chrysler,sebring 200c,2387.63,52.43,2191.0,3000,4700
chrysler,stratus,712.18,20.98,601.0,1700,3000
chrysler,vision,0.0,0.0,0.0,0,0
chrysler,voyager,2457.25,55.64,1840.0,0,0
citroen,2cv,3403.05,163.99,2680.0,3100,4500
citroen,ami,538.12,6.31,468.0,700,1200
citroen,ax,935.14,107.1,830.0,1100,4600
citroen,berlingo,2765.86,19.46,1970.0,900,2400
citroen,bx,1864.06,71.87,1799.0,3000,3800
citroen,c-crosser,1587.41,22.48,1136.0,1400,3500
citroen,c-elysee,1408.73,13.14,1031.0,0,100
citroen,c-zero,2287.12,30.49,2110.0,3100,4900
citroen,c1,1472.85,14.95,996.0,0,0
citroen,c15,1250.8,65.95,1012.0,0,0
citroen,c2,1250.8,49.86,932.0,100,200
citroen,c25,5918.37,199.98,4544.0,4700,9500
citroen,c3,1217.51,14.14,877.0,500,1100
citroen,c3 aircross,1605.47,7.53,1130.0,200,600
citroen,c3 origin,2004.1,8.68,1613.0,1000,3200
citroen,c3 picasso,1338.88,19.04,1040.0,0,0
citroen,c3 pluriel,2697.15,75.69,1686.0,2300,8800
citroen,c4,1350.57,17.74,946.0,500,1200
citroen,c4 aircross,1775.45,12.01,1440.0,2400,4400
citroen,c4 cactus,1439.88,9.92,1031.0,200,500
citroen,c4 picasso,1662.52,18.22,1203.0,200,600
citroen,c4 sedan,1226.55,25.68,1068.0,1300,2100
citroen,c4 spacetourer,2481.08,12.52,1730.0,0,100
citroen,c4 x,3193.95,13.24,2893.0,3000,8100
citroen,c5,1269.56,31.01,888.0,100,400
citroen,c5 aircross,2041.99,6.34,1323.0,100,400
citroen,c5 aircross hybrid,3204.0,8.26,2524.0,0,0
citroen,c5 x,4143.76,8.83,2879.0,0,300
citroen,c6,2060.32,20.51,1552.0,1000,3600
citroen,c8,1261.12,22.38,1040.0,0,0
citroen,cx,2838.426794311713,0.2175175175175175,1766.6666666666667,2600,4200
citroen,ds3,2876.0,24.11,1993.0,0,0
citroen,ds4,1035.06,7.47,615.0,0,0
citroen,ds5,2225.38,13.57,1571.0,0,0
citroen,e-mehari,500.0,0.0322916666666666,500.0,500,800
citroen,evasion,590.73,22.34,583.0,900,2000
citroen,grand c4 picasso,1937.81,24.73,1359.0,100,200
citroen,grand c4 spacetourer,1734.83,7.27,1247.0,0,0
citroen,jumper,13003.08,62.07,9618.0,0,0
citroen,jumpy,3475.96,32.91,2230.0,0,0
citroen,nemo,4045.36,67.67,3347.0,3000,4600
citroen,saxo,1675.61,53.12,1140.0,0,0
citroen,spacetourer,9278.84,19.13,5782.0,0,0
citroen,visa,577.3502691896257,0.1111111111111111,333.3333333333333,500,800
citroen,xantia,985.97,48.72,677.0,0,0
citroen,xm,2272.56,64.06,2150.0,1900,2800
citroen,xsara,644.09,43.63,487.0,0,100
citroen,xsara picasso,914.21,31.33,685.0,100,300
citroen,zx,307.24,23.57,267.0,400,1000
citroen,ë-berlingo,2759.18,9.24,1979.0,0,200
citroen,ë-c3,0.0,0.0,0.0,0,0
citroen,ë-c3 aircross,0.0,0.0,0.0,0,0
citroen,ë-c4,2043.18,5.4,1541.0,0,0
citroen,ë-jumpy,1080.49,27.5,1000.0,1500,3000
citroen,ë-spacetourer,6080.79,14.88,4299.0,8600,8800
citroen,ëc4 x,2022.48,4.8,1429.0,2500,7200
corvette,corvette,21792.05,41.37,19952.0,29500,51900
cupra,ateca,4017.88,8.93,3063.0,0,0
cupra,born,4010.47,8.54,2625.0,0,0
cupra,formentor,2579.51,5.67,1700.0,300,1100
cupra,leon,3957.66,8.51,2096.0,200,600
dacia,dokker,1842.13,14.0,1377.0,0,0
dacia,duster,1659.04,8.71,1135.0,100,400
dacia,jogger,2217.88,6.29,1339.0,0,0
dacia,lodgy,1567.15,9.78,1022.0,0,0
dacia,logan,1495.86,20.46,988.0,0,0
dacia,sandero,1397.06,12.28,1010.0,300,800
dacia,spring,2001.94,10.32,1336.0,0,0
daewoo,aranos,182.57418583505537,0.125,133.33333333333334,200,300
daewoo,compact,800.0,0.6044444444444445,800.0,800,1300
daewoo,kalos,726.5,49.16,578.0,1000,1700
daewoo,lacetti,871.36,45.99,852.0,1100,1700
daewoo,lanos,441.28,50.57,373.0,800,1200
daewoo,leganza,0.0,0.0,0.0,0,0
daewoo,matiz,513.43,39.15,365.0,600,1600
daewoo,nubira,688.16,29.57,637.0,800,1100
daewoo,tacuma,555.6752648804876,0.2997019358842405,375.0,400,1000
daihatsu,applause,0.0,0.0,0.0,0,0
daihatsu,feroza,2004.82,41.99,1270.0,1100,1900
daihatsu,rocky,2587.791851495531,0.8974358974358975,2100.0,3200,5000
daihatsu,sirion,0.0,0.0,0.0,0,0
daihatsu,terios,2398.51,149.44,2166.0,4700,6400
daimler,serie xj,12345.309500643014,0.582263740158477,10000.0,15000,24000
daimler,series iii,0.0,0.0,0.0,0,0
daimler,xj,1000.0,0.1714285714285714,1000.0,1000,1600
dfsk,500,2880.57,11.89,2493.0,3000,4800
dfsk,580,4497.37,11.52,3229.0,4000,7800
dfsk,fengon 5,4308.72,15.55,3791.0,5800,11600
dfsk,seres 3,750.0,0.0303431647585604,750.0,800,1200
dfsk,serie k,3729.6179428997816,0.2766707852070456,2875.0,4400,6800
dodge,avenger,371.56,9.28,368.0,400,700
dodge,caliber,1620.45,84.3,1282.0,0,0
dodge,challenger,11207.58,19.11,9069.0,13200,20200
dodge,durango,5906.405421235491,0.3645025031786395,4387.5,5100,11700
dodge,journey,1648.39,14.96,1197.0,2200,3300
dodge,nitro,2010.17,17.69,1298.0,2100,4800
dodge,viper,3050.0,0.0652380410022779,3050.0,3000,4900
dr automobiles,dr 3,0.0,0.0,0.0,0,0
dr automobiles,dr 3.0,0.0,0.0,0.0,0,0
dr automobiles,dr 4.0,673.54,3.14,545.0,1000,2000
dr automobiles,dr 5.0,1744.04,7.18,1083.0,1000,3000
dr automobiles,dr 6,9805.0,12.901315789473683,4902.5,4900,13700
dr automobiles,dr 6.0,4200.0,0.1495440729483282,4200.0,4200,6700
